issue_type,severity,element,element_index,ifc_type,ontology_class,brick_class,message,architectural_element,architectural_index,architectural_ifc_type,edge_index,predicate
missing_penetration_or_opening,high,87,5855,,brick:Equipment,brick:Equipment,"MEP distribution element intersects an architectural barrier, but no matching opening was found.",63.0,1846.0,,,
missing_penetration_or_opening,high,122,13480,,brick:Equipment,brick:Equipment,"MEP distribution element intersects an architectural barrier, but no matching opening was found.",63.0,1846.0,,,
missing_penetration_or_opening,high,110,28466,,brick:Equipment,brick:Equipment,"MEP distribution element intersects an architectural barrier, but no matching opening was found.",63.0,1846.0,,,
terminal_not_located_in_space,medium,21,21,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,22,22,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,23,23,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,24,24,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,25,25,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,26,26,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,27,27,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,28,28,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,29,29,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,30,30,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,31,31,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,32,32,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,33,33,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,34,34,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,35,35,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,36,36,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,37,37,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,38,38,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
